TOTALLY,-8.45938,-9.33286
CHEESY,-11.22036,-12.82116
WEEE,-10.49925,-11.97277
TENGA,-11.14999,-11.87885
JAGA,-10.3627,-11.26876
WEED,-10.62771,-12.00647
CHAT,-8.95706,-9.93269
POSTED,-9.55639,-11.07183
ANYWHERE,-10.38878,-10.49718
AIGHT,-10.85506,-12.90426
VALLA,-11.13003,-12.25499
CHEESE,-9.23104,-10.73971
JIM,-10.98821,-12.4947
HEYYY,-9.23585,-11.46813
B'DAY,-9.63959,-13.0594
TUES,-11.0748,-11.67456
HAVNT,-11.46434,-11.38868
SOFA,-10.99889,-12.11183
HAIRCUT,-10.16761,-11.61733
SELASA,-10.85871,-11.39477
EMANG,-8.81867,-9.24469
CIERTO,-10.23158,-11.14735
REHAB,-12.08099,-10.95365
TUBE,-11.44431,-12.07586
BIRTHDAYYY,-10.55434,-14.07422
DIAJAK,-11.07597,-10.74244
TIROL,-11.13841,-12.30798
TENIA,-10.78741,-10.34279
HORSE,-10.82893,-11.67423
JGA,-9.45747,-10.59902
CREER,-11.85211,-11.35572
POSTER,-10.52283,-11.69199
BUDDY,-9.15851,-10.44466
COKLAT,-10.9933,-11.86806
JGN,-8.26212,-8.91709
ZEG,-10.94592,-11.62556
SOFT,-10.56503,-12.02917
THNKS,-10.13674,-13.04743
WEAR,-9.07529,-9.89099
CHEM,-11.53754,-11.5581
JDI,-10.14444,-10.18741
SELAMA,-10.78191,-11.5047
CHEF,-10.73908,-12.4108
CENTRE,-10.95474,-11.89776
P.S.,-10.55702,-12.05938
SOLA,-11.0692,-10.32746
SELALU,-8.75309,-10.12826
SOLD,-10.39894,-9.80961
BARELY,-10.9431,-10.42657
GARGANTA,-12.44559,-10.39916
JAKE,-11.2031,-12.32842
BUSINESS,-9.56888,-10.61162
EMAK,-11.64608,-11.76805
LADIES,-9.07568,-11.21307
LANGGENG,-10.00471,-13.27171
14TH,-11.19329,-12.73708
HHAA,-11.30885,-12.45689
TANGAN,-10.68261,-10.57798
KERUMAH,-10.80073,-11.10342
JET,-11.22726,-12.12683
CENTRO,-10.92148,-11.8546
JEN,-10.74167,-11.87298
PUNCAK,-11.28076,-11.76546
PERFORMANCE,-9.77118,-11.25139
JAY,-10.25323,-11.55536
NEIGHBOR,-11.26078,-11.86375
NOCHES,-8.91527,-11.47673
TAHUN,-8.77381,-10.84956
SEBUAH,-11.08878,-13.08
TSUNAMI,-13.34616,-13.03963
PRECISO,-10.59085,-9.986
SOIR,-11.21818,-12.56474
BOGOR,-10.36979,-11.37562
INVOLVED,-10.8589,-12.28674
BLANKET,-10.99459,-12.00128
JAIL,-11.29891,-11.47975
HEBBEN,-10.14111,-10.94971
CREAM,-8.87764,-10.07715
WERKEN,-10.32852,-10.46698
SUAREZ,-10.67968,-12.32119
MADRID,-9.99559,-11.30832
BINTANG,-10.86995,-12.01722
JAJA,-8.04208,-9.06048
ZIN,-10.14247,-10.41476
MAMAH,-10.88676,-10.89151
BLUNT,-11.09648,-12.63253
JAK,-11.28167,-11.82937
JAM,-7.97782,-8.53895
JAN,-10.6492,-11.30263
SEBENTAR,-10.87266,-11.5559
JAH,-11.00789,-11.43244
NOITE,-8.1453,-10.32159
JAR,-11.52732,-12.29154
JULIA,-11.2326,-12.65823
WISDOM,-11.23785,-11.25332
UNCLE,-10.00122,-10.92148
YYA,-10.9539,-12.70891
AXIS,-11.08628,-12.11971
TONGUE,-11.27934,-11.04162
JULIE,-11.23298,-12.48143
LONDON,-8.91136,-9.85802
MONTH,-8.66665,-9.52803
JAA,-9.93775,-10.8528
MONTE,-11.62772,-12.15041
MACHINE,-10.56323,-11.10096
USING,-9.24771,-10.21894
JESSICA,-10.70894,-12.34645
ANKLE,-11.68274,-10.68088
MULHER,-12.17743,-12.74647
PERIH,-12.77916,-10.9761
BOWLING,-9.88159,-11.63225
JALAN,-8.99507,-9.43323
YELLOW,-10.18874,-11.64261
WOULD'VE,-11.14324,-11.26564
BOXES,-11.52598,-12.27387
ARRIVE,-10.70611,-11.91753
GOING,-6.12724,-6.98902
SMOOTH,-10.90186,-12.82833
