BESAR,1
BESIDE,1
BESIDES,1
BESO,2
BEST,3
BESTEST,2
BESTFRIEND,1
BESTFRIENDS,1
BESTIE,1
BESTIES,2
BET,1
BETA,1
BETE,-1
BETER,1
BETRAY,-3
BETRAYAL,-3
BETRAYED,-3
BETRAYING,-3
BETRAYS,-3
BETTA,1
BETTER,2
BETUL,1
BEY,0
BEYONCE,1
BEYOND,1
BEZIG,1
BFF,1
BGD,0
BGN,1
BGS,1
BGT,0
BGTU,1
BGUS,1
BHS,1
BIARIN,1
BIAS,-1
BIASA,1
BIASANYA,1
BIASED,-2
BIBLE,2
BIEBER,2
BIER,1
BIG,1
BIGGER,1
BIJNA,0
BIKE,1
BIKIN,0
BIL,1
BILA,1
BILANG,0
BILL,1
BILLS,0
BILLY,1
BINGUNG,-1
BINNEN,1
BINTANG,1
BIO,1
BIOLOGY,0
BIR,2
BIRD,1
BIRDS,1
BIRMINGHAM,1
BIRTH,2
BIRTHDAY,3
BIRTHDAYYY,4
BIRU,1
BISA,0
BISAA,0
BISAAA,0
BISCUITS,1
BISMA,1
BISMILLAH,3
BIT,1
BITCHES,-5
BITE,1
BITS,1
BITTER,-2
BITTERLY,-2
BIZ,2
BIZARRE,-2
BJS,1
BKAN,1
BKIN,0
BKN,1
BLA,0
BLACK,1
BLACKBERRY,1
BLAH,-2
BLAJAR,1
BLAME,-2
BLAMED,-2
BLAMES,-2
BLAMING,-2
BLANK,0
BLANKET,1
BLAST,2
BLASTING,2
BLEEDING,-2
BLEH,0
BLESS,2
BLESSED,4
BLESSES,2
BLESSING,3
BLEW,0
BLG,0
BLH,1
BLIJ,2
BLIJFT,1
BLIJVEN,1
BLIND,-1
BLISS,3
BLISSFUL,3
BLITHE,2
BLJR,1
BLM,0
BLN,0
BLOCK,-1
BLOCKBUSTER,3
BLOCKED,-1
BLOCKING,-1
BLOCKS,-1
BLOCO,1
BLOG,2
BLOGGING,1
BLOGS,1
BLOM,0
BLONDE,1
BLOOD,0
BLOODY,-3
BLOW,1
BLOWING,1
BLOWN,0
BLOWS,-1
BLS,0
BLUE,1
BLUES,1
BLUM,0
BLUNT,2
BLURRY,-2
BLZ,1
BNER,0
BNGET,0
BNGT,0
BNGUN,0
BNR,0
BNYAK,1
BNYK,1
BOA,3
BOARD,1
BOARDING,1
BOASTFUL,-2
BOB,1
BOBBY,1
BOGOR,1
BOHONG,0
BOI,1
BOKAP,0
BOLDLY,2
BOLEH,1
BONES,1
BONITA,2
BONITO,2
BONJOUR,4
BONNE,4
BONUS,2
BOO,0
BOOBS,0
BOOKED,1
BOOKING,1
BOOKS,1
BOONG,0
BOOOA,4
BOOOM,3
BOOST,1
BOOSTED,1
BOOSTING,1
BOOSTS,1
BOOTH,2
BOOTS,1
BOOTY,1
BORED,-2
BORING,-3
BORROW,1
BOS,1
BOSAN,-1
BOSEN,0
BOSTON,1
BOTHER,-2
BOTHERED,-2
BOTHERS,-2
BOTHERSOME,-2
BOTTLE,1
BOTTLES,2
BOTTOM,1
BOUGHT,1
BOUND,2
BOUTA,2
BOW,2
BOWLING,2
BOX,1
