CHASTISING,-3,anger,,
CHEAP SHOT,-2,disgust,,
CHEATED,-3,disgust,,
CHEATER,-3,disgust,,
CHEATERS,-3,disgust,,
CHEATS,-3,disgust,,
CHEERLESS,-2,sadness,,
CHERISHED,2,joy,,
CHERISHES,2,joy,,
CHERISHING,2,joy,,
CHILLING,-1,fear,,
CHOKED,-2,anger,,
CHOKES,-2,anger,,
CHOKING,-2,anger,,
CHORAR,-2,anger,,
CIVIL UPRISING,-1,anger,,
CIVIL WAR,-1,anger,,
CLASSY,3,trust,,
CLEARLY,1,anticipation,,
CLUELESS,-2,surprise,,
COCKSUCKER,-5,disgust,,
COCKSUCKERS,-5,disgust,,
COCKY,-2,anger,,
COERCED,-2,fear,,
COLLAPSED,-2,sadness,,
COLLAPSES,-2,sadness,,
COLLAPSING,-2,sadness,,
COLLIDES,-1,sadness,,
COLLIDING,-1,sadness,,
COLLISIONS,-2,sadness,,
COLLUDING,-3,fear,,
COMBATS,-1,anger,,
COMFORTING,2,trust,,
COMFORTS,2,trust,,
COMMENDED,2,trust,,
COMMITMENT,2,trust,,
COMMITS,1,trust,,
COMMITTING,1,trust,,
COMPLAINED,-2,anger,,
COMPLAINING,-2,anger,,
COMPLAINS,-2,anger,,
CONCILIATE,2,anticipation,,
CONCILIATED,2,anticipation,,
CONCILIATES,2,anticipation,,
CONCILIATING,2,anticipation,,
CONDEMNS,-2,anger,,
CONFLICTIVE,-2,anger,,
CONFLICTS,-2,anger,,
CONFUSED,-2,fear,,
CONFUSING,-2,fear,,
CONGRATS,2,joy,,
CONGRATULATE,2,joy,,
CONGRATULATION,2,joy,,
CONGRATULATIONS,2,joy,,
CONGRATZ,2,joy,,
CONSENTS,2,trust,,
CONSIDER,2,trust,,
CONTAGIONS,-2,fear,,
CONTEMPTUOUSLY,-2,disgust,,
CONTEND,-1,anger,,
CONTENDER,-1,anger,,
CONTEST,-1,anger,,
CONTESTABLE,-2,anger,,
CONTROVERSIALLY,-2,fear,,
CONVIVIAL,2,joy,,
CONVO,2,joy,,
COOL STUFF,3,trust,,
COOLEST,3,trust,,
CORNERED,-2,fear,,
CORRECT,2,trust,,
COUGHING,-2,fear,,
COVER-UP,-3,fear,,
CRAMPS,-2,fear,,
CRAPPY,-1,anger,,
CRASHED,-1,fear,,
CRAZIER,-2,anger,,
CRAZIEST,-2,anger,,
CREATED,2,joy,,
CREATING,2,joy,,
CRESTFALLEN,-2,disgust,,
CRIED,-2,anger,,
CRIES,-2,anger,,
CRIMINALS,-3,anger,,
CRITICIZED,-2,anger,,
CRITICIZES,-2,anger,,
CRITICIZING,-2,anger,,
CRITICS,-2,anger,,
CRUSHES,-1,anger,,
CUNT,-5,anger,,
CURIOUS,1,surprise,,
CUTEST,2,joy,,
CUTIE,3,joy,,
CUTS,-1,anger,,
CYNICAL,-2,anger,,
CYNICISM,-2,anger,,
DAMMIT,-4,anger,,
DAMNIT,-4,anger,,
DARKEST,-2,fear,,
DAUNTLESS,2,trust,,
DAYY,2,joy,,
DAYYY,2,joy,,
DEAD,-3,sadness,,
DEARLY,3,trust,,
DECEIVES,-3,disgust,,
DEDICATED,2,trust,,
DEFECTS,-3,fear,,
DEFENDERS,2,trust,,
DEFINATELY,2,trust,,
DEFINITELY,2,trust,,
DEGRADED,-2,disgust,,
DEGRADES,-2,disgust,,
DEHUMANIZE,-2,disgust,,
DEHUMANIZED,-2,disgust,,
DEHUMANIZES,-2,disgust,,
DEHUMANIZING,-2,disgust,,
DEJECT,-2,sadness,,
DEJECTED,-2,sadness,,
DEJECTING,-2,sadness,,
DEJECTS,-2,sadness,,
DELETE,-1,anger,,
DELETED,-1,anger,,
DELIGHTING,3,joy,,
DELIGHTS,3,joy,,
DEMANDED,-1,anger,,
DEMANDS,-1,anger,,
DENGER,-1,fear,,
DENIER,-2,fear,,
DENIERS,-2,fear,,
DENIES,-2,fear,,
DENOUNCES,-2,anger,,
DERAILED,-2,sadness,,
DERAILS,-2,sadness,,
DERIDED,-2,disgust,,
DERIDES,-2,disgust,,
DERIDING,-2,disgust,,
DESERVES,2,trust,,
DESPAIRS,-3,sadness,,
DESPERATELY,-3,sadness,,
DESPONDENT,-3,sadness,,
DESTROY,-3,anger,,
DESTROYS,-3,anger,,
DETAINED,-2,fear,,
DEVASTATED,-3,anger,,
DICK,-4,anger,,
DICKHEAD,-4,anger,,
DICTATORS,-2,disgust,,
DIED,-3,sadness,,
DIFFIDENT,-2,none,,
DIPSHIT,-3,anger,,
DIREFUL,-3,disgust,,
DIRTIER,-2,disgust,,
DIRTIEST,-2,disgust,,
DISADVANTAGED,-2,fear,,
DISAPPEARED,-1,fear,,
DISAPPEARS,-1,fear,,
DISAPPOINTMENTS,-2,disgust,,
DISAPPOINTS,-2,disgust,,
DISCARD,-1,disgust,,
DISCARDING,-1,disgust,,
DISCONSOLATE,-2,sadness,,
DISCONSOLATION,-2,sadness,,
DISCONTENTED,-2,sadness,,
DISCREDITED,-2,anger,,
DISGUISES,-1,fear,,
DISGUISING,-1,disgust,,
DISGUSTED,-3,disgust,,
DISILLUSIONED,-2,anger,,
DISMAYED,-2,sadness,,
DISPARAGED,-2,disgust,,
DISPARAGES,-2,disgust,,
DISPUTED,-2,anger,,
DISPUTES,-2,anger,,
DISPUTING,-2,anger,,
DISQUIET,-2,fear,,
DISREGARDING,-2,anger,,
DISREGARDS,-2,anger,,
DISRESPECTED,-2,anger,,
DISRUPTIONS,-2,anger,,
DISRUPTIVE,-2,anger,,
DISTORTING,-2,anger,,
DISTORTS,-2,anger,,
DISTRACTS,-2,none,,
DISTRESSES,-2,anger,,
DISTRUSTFUL,-3,anger,,
DISTURB,-2,none,,
DISTURBING,-2,fear,,
DISTURBS,-2,none,,
DITHERING,-2,fear,,
DODGY,-2,fear,,
DOES NOT WORK,-3,fear,,
DOLOROUS,-2,sadness,,
DONT LIKE,-2,disgust,,
DOUBTED,-1,fear,,
DOUBTS,-1,fear,,
DOUCHEBAG,-3,anger,,
DOWNHEARTED,-2,sadness,,
DOWNSIDE,-2,fear,,
DRAGGED,-1,anger,,
DREADED,-2,fear,,
DREADING,-2,fear,,
DREAMS,1,joy,,
DROWNED,-2,fear,,
DROWNS,-2,fear,,
DRUNK,-2,disgust,,
DUD,-2,anger,,
DUMBASS,-3,anger,,
DUPED,-2,sadness,,
DYSFUNCTION,-2,anger,,
EFFECTIVELY,2,joy,,
EHEHE,2,joy,,
EMBARRASSED,-2,disgust,,
EMBARRASSES,-2,disgust,,
EMPATHETIC,2,anticipation,,
ENEMIES,-2,anger,,
ENJOYED,3,joy,,
ENJOYS,2,joy,,
ENLIGHTENED,2,surprise,,
ENLIGHTENS,2,surprise,,
ENNUI,-2,disgust,,
ENRAGE,-2,anger,,
ENRAGED,-2,anger,,
ENRAGES,-2,anger,,
ENRAGING,-2,anger,,
ENRAPTURE,3,surprise,,
ENSLAVES,-2,anger,,
ENSURING,1,trust,,
ENTHRAL,3,surprise,,
ENTHUSIASTIC,3,surprise,,
ENTITLED,1,anticipation,,
ENTRUSTED,2,trust,,
ENVIES,-1,disgust,,
ENVY,-1,disgust,,
ENVYING,-1,disgust,,
ERRORS,-2,none,,
ESCAPES,-1,none,,
EUPHORIA,4,joy,,
EUPHORIC,4,joy,,
EWWW,-1,disgust,,
EXAGGERATES,-2,anger,,
EXAGGERATING,-2,anger,,
EXASPERATED,2,surprise,,
EXCELENTE,3,joy,,
EXCLUSIVE,2,trust,,
EXHILARATED,3,surprise,,
EXHILARATES,3,surprise,,
EXHILARATING,3,surprise,,
EXONERATE,2,trust,,
EXONERATED,2,trust,,
EXONERATES,2,trust,,
EXONERATING,2,trust,,
EXPELLED,-2,fear,,
EXPELLING,-2,fear,,
EXPELS,-2,fear,,
EXPLOITED,-2,disgust,,
EXPLOITING,-2,disgust,,
EXPLORATION,-1,none,,
EXPLORATIONS,-1,none,,
EXPOSES,-1,disgust,,
EXPOSING,-1,disgust,,
EXTENDS,1,trust,,
EXUBERANT,4,joy,,
EXULTANT,3,joy,,
EXULTANTLY,3,joy,,
FAG,-3,anger,,
FAGGOT,-3,anger,,
FAGGOTS,-3,anger,,
FAIL,-2,fear,,
FAILED,-2,fear,,
FAILS,-2,fear,,
FAILURES,-2,fear,,
FAINTHEARTED,-2,fear,,
FAKES,-3,anger,,
FAKING,-3,anger,,
FALLEN,-2,sadness,,
FANS,1,joy,,
FANTASTIC,4,joy,,
FASCINATE,3,surprise,,
FASCINATED,3,surprise,,
FASCINATES,3,surprise,,
FASCIST,-2,anger,,
FASCIST FILTH,-4,anger,,
FASCISTS,-2,anger,,
FATALITIES,-3,anger,,
FATIGUES,-2,sadness,,
FATIGUING,-2,sadness,,
FAV,2,joy,,
FAVE,2,joy,,
FAVORED,2,joy,,
FAVORITED,2,joy,,
FAVORITES,2,joy,,
FAVORS,2,joy,,
FAVOURITE,2,joy,,
FAVS,2,joy,,
FEARSOME,-2,fear,,
FED UP,-3,anger,,
FELONIES,-3,anger,,
FEST,1,joy,,
FESTA,1,joy,,
FIDGETY,-2,fear,,
FINANCIAL CRISIS,-1,fear,,
FIRED,-2,anger,,
FLEES,-1,fear,,
FLOPS,-2,disgust,,
FOLBACK,4,anticipation,joy,
FOOLS,-2,anger,,
FORECLOSURE,-2,disgust,sadness,
FORECLOSURES,-2,disgust,sadness,
FRAUDS,-4,sadness,surprise,
FRAUDSTER,-4,sadness,surprise,
FRAUDSTERS,-4,sadness,surprise,
FRAUDULENCE,-4,sadness,surprise,
FRIGHTENING,-3,fear,,
FRIKIN,-2,fear,,
FRUSTRATES,-2,anger,,
FRUSTRATING,-2,anger,,
FUCK,-4,anger,,
FUCKED,-4,anger,,
FUCKER,-4,anger,,
FUCKERS,-4,anger,,
FUCKFACE,-4,anger,,
FUCKHEAD,-4,anger,,
FUCKIN,-4,anger,,
FUCKING,-4,anger,,
FUCKTARD,-4,anger,,
FUKED,-4,anger,,
FUKING,-4,anger,,
FULFILLED,2,trust,,
FULFILLS,2,trust,,
FUNERALS,-1,sadness,,
FUNN,2,joy,,
FUNNIER,4,joy,,
FUNNIEST,2,joy,,
FUNNY,4,joy,,
GAGGED,-2,disgust,,
GAH,-1,disgust,,
GALLANTLY,3,trust,,
GINI,-1,disgust,,
GLAMOROUS,3,trust,,
GLAMOUROUS,3,trust,,
GLORIOUS,2,joy,,
GODDAMN,-3,anger,,
GREAT,3,joy,,
GREAT CONCERN,-2,fear,,
GREEN WASH,-3,anger,,
GREEN WASHING,-3,anger,,
GREENWASH,-3,anger,,
GREENWASHER,-3,anger,,
GREENWASHERS,-3,anger,,
GREENWASHING,-3,anger,,
GREETED,1,joy,anticipation,
GREETINGS,2,joy,anticipation,
GRIEVED,-2,sadness,,
GRIPE,-2,sadness,,
GRR,-1,anger,,
GR,-1,anger,,
GULLIBILITY,-2,fear,,
GUTTED,-2,sadness,,
HACKED,-1,anger,,
HAH,1,joy,,
HAHA,3,joy,,
HAHAA,1,joy,,
HAHAAA,1,joy,,
HAHAH,1,joy,,
HAHAHA,3,joy,,
HAHAHAA,1,joy,,
HAHAHAH,3,joy,,
HAHAHAHA,1,joy,,
HAHAHAHAH,1,joy,,
HAHAHAHAHA,1,joy,,
HAHAHAHAHAHA,1,joy,,
HAHAHART,1,joy,,
HAHAHHA,1,joy,,
HAHART,1,joy,,
HAHHA,1,joy,,
HAHHAA,1,joy,,
HAHHAHA,1,joy,,
HAII,3,joy,,
HAI,2,joy,,
HALF MAST,-1,sadness,,
HALLO,3,joy,,
HALOO,3,joy,,
HALO,3,joy,,
HAMBRE,-1,anger,,
HANGOVER,-1,fear,,
HAPLESS,-2,sadness,,
HAPLESSNESS,-2,sadness,,
HAPPIER,2,joy,,
HAPPIEST,2,joy,,
HAPPY,3,joy,,
HARD,-1,fear,,
HARDER,-1,fear,,
HARDEST,-1,fear,,
HARDIER,2,trust,,
HARMED,-2,anger,,
HARMING,-2,anger,,
HARMS,-2,anger,,
HARSH,-2,anger,,
HARSHER,-2,anger,,
HARSHEST,-2,anger,,
HATED,-3,anger,,
HATERS,-3,anger,,
HATES,-3,anger,,
HAUNTING,-1,fear,,
HAUNTS,-1,fear,,
HBD,4,joy,,
HEARTBREAKING,-3,sadness,,
HEARTBROKEN,-3,sadness,,
HEAVEN,2,joy,,
HEAVYHEARTED,-2,sadness,,
HEH,1,joy,,
HEHE,2,joy,,
HEHEE,2,joy,,
HEHEH,2,joy,,
HEHEHE,2,joy,,
HEHEHEH,2,joy,,
HEHEHEHE,2,joy,,
HEHERT,1,joy,,
HEHHE,2,joy,,
HELLO,3,joy,,
HELLOO,3,joy,,
HELLOOO,2,joy,,
HELP,2,trust,,
HELPED,2,trust,,
HELPING,2,trust,,
HELPS,2,trust,,
HESITANT,-2,fear,,
HESITATE,-2,fear,,
HHEHE,2,joy,,
HIDES,-1,fear,,
HIHI,2,joy,,
HIHIHI,2,joy,,
HONORED,2,joy,trust,
HONORING,2,joy,trust,
HONOUR,2,joy,trust,
HONOURED,2,joy,trust,
HONOURING,2,joy,trust,
HOOLIGAN,-2,anger,,
HOOLIGANISM,-2,anger,,
HOOLIGANS,-2,anger,,
HOPEFULLY,2,anticipation,,
HORRENDOUS,-3,fear,,
HUCKSTER,-2,anger,,
HUGS,2,joy,trust,
HUMILIATED,-3,disgust,,
HUMOR,2,joy,,
HUMOUR,2,joy,,
HUMOUROUS,2,joy,,
HURTS,-2,fear,,
HYSTERICS,-3,anger,,
IGNORED,-2,sadness,surprise,
IGNORES,-1,sadness,surprise,
ILLITERACY,-2,fear,,
ILLNESSES,-2,fear,,
ILOVE,3,joy,trust,
ILOVEYOU,2,joy,trust,
ILY,2,joy,trust,
IMBECILE,-3,anger,,
IMMOBILIZED,-1,fear,,
IMPERFECT,-2,sadness,,
IMPOSED,-1,fear,,
IMPOSES,-1,fear,,
IMPRESSED,3,surprise,,
IMPRESSES,3,surprise,,
IMPRESSIVE,3,surprise,,
IMPROVES,2,joy,,
INCAPACITATED,-2,sadness,,
INCENSED,-2,anger,,
INCONVENIENCE,-2,none,,
INCREDIBLE,2,joy,surprise,
INCREDIBLY,1,joy,surprise,
INCREIBLE,2,joy,surprise,
INDIFFERENT,-2,disgust,,
INDOCTRINATE,-2,fear,,
INDOCTRINATED,-2,fear,,
INDOCTRINATES,-2,fear,,
INDOCTRINATING,-2,fear,,
INEFFECTIVELY,-2,none,,
INFECTED,-2,disgust,,
INFLAMED,-2,anger,,
INFURIATE,-2,anger,,
INFURIATED,-2,anger,,
INFURIATES,-2,anger,,
INFURIATING,-2,anger,,
INNOVATES,1,joy,surprise,
INNOVATIVE,2,joy,surprise,
INQUISITION,-2,fear,,
INSENSITIVE,-2,anger,,
INSENSITIVITY,-2,anger,,
INSPIRATIONAL,2,trust,,
INSPIRES,2,trust,,
INSPIRING,3,trust,,
INSULTED,-2,disgust,,
INSULTS,-2,disgust,,
INTERROGATED,-2,none,,
INTERRUPTING,-2,anger,,
INTERRUPTS,-2,anger,,
INTIMIDATED,-2,anger,,
INTIMIDATES,-2,anger,,
INTIMIDATING,-2,anger,,
INTRIGUES,1,joy,anticipation,
INVULNERABLE,2,trust,,
IRRESOLUTE,-2,fear,,
IRRITATE,-3,fear,,
IRRITATED,-3,fear,,
ITCHY,-2,fear,,
JACKASSES,-4,anger,,
JAILED,-2,disgust,,
JAUNTY,2,joy,,
JERK REACTION,-1,anger,,
JOCULAR,2,joy,,
JOKES,2,joy,,
JOLLY,2,joy,,
JOYFULLY,3,joy,,
JOYLESS,-2,sadness,,
JUMPY,-1,fear,,
JUSTIFIABLY,2,trust,,
JUSTIFIED,2,trust,,
KILLED,-3,fear,disgust,
KILLER,-3,fear,disgust,
KILLS,-3,fear,disgust,
KISSES,2,joy,trust,
LACKADAISICAL,-2,disgust,,
LAGGED,-2,anger,,
LAGS,-2,anger,,
LAME,-2,disgust,,
LATE STRIKES,-1,anger,,
LIARS,-3,disgust,,
LIED,-2,disgust,,
LIES,-1,disgust,,
LIFESAVER,4,joy,trust,
LIGHTHEARTED,1,joy,,
LIKED,2,joy,,
LIMITS,-1,sadness,,
LISTENED,2,joy,,
LIVE AMMUNITION,-1,fear,,
LIVELY,2,joy,,
LIVES,1,none,,
LMAO,4,joy,,
LMAOO,1,joy,,
LMAOOO,1,joy,,
LMBO,2,joy,,
LMFAO,4,joy,,
LMFAOO,1,joy,,
LOATHED,-3,sadness,disgust,
LOATHES,-3,sadness,disgust,
LOBBYING,-2,anger,,
LOLA,1,joy,,
LOLL,1,joy,,
LOLLL,1,joy,,
LOLOL,1,joy,,
LOLS,2,joy,,
LOLZ,1,joy,,
LONGLAST,4,trust,,
LOOL,2,joy,,
LOOMED,-1,sadness,,
LOOSES,-3,sadness,,
LOSER,-3,disgust,,
LOVED,3,joy,trust,
LOVEE,3,joy,trust,
LOVEEE,3,joy,trust,
LOVELIES,3,joy,trust,
LOVERS,2,joy,trust,
LOVES,2,joy,trust,
LOVIN,3,joy,trust,
LUCKILY,3,joy,surprise,
LUGUBRIOUS,-2,sadness,,
LUNATICS,-3,anger,,
LUV,2,joy,trust,
MA'AM,2,trust,,
MADDENING,-3,anger,,
MADE-UP,-1,anger,,
MADLY,-3,anger,,
MAKESHIFT MORGUE,-1,sadness,,
MAL,-1,sadness,,
MANDATORY,-1,anger,disgust,
MANIPULATED,-1,fear,trust,
MANIPULATING,-1,fear,trust,
MARTIAL LAW,-1,fear,,
MARVELS,3,joy,surprise,
MASTERPIECES,4,joy,,
MENACED,-2,anger,,
MESSED,-2,sadness,,
MESSING UP,-2,sadness,,
MINDLESS,-2,anger,,
MISBEHAVED,-2,anger,,
MISBEHAVES,-2,anger,,
MISBEHAVING,-2,anger,,
MISGIVING,-2,sadness,,
MISINFORMATION,-2,anger,,
MISINTERPRETED,-2,sadness,surprise,
MISREAD,-1,sadness,surprise,
MISREPORTING,-2,sadness,surprise,
MISTAKES,-2,sadness,surprise,
MISTAKING,-2,sadness,surprise,
MISUNDERSTANDS,-2,sadness,surprise,
MISUNDERSTOOD,-2,sadness,surprise,
MOANED,-2,sadness,,
MOANING,-2,sadness,,
MOANS,-2,sadness,,
MOCK,-2,anger,,
MOCKED,-2,anger,,
MOCKS,-2,anger,,
MONGERING,-2,anger,trust,
MONOPOLIZE,-2,anger,trust,
MONOPOLIZES,-2,anger,trust,
MONOPOLIZING,-2,anger,trust,
MOPE,-1,disgust,,
MOPING,-1,disgust,,
MOTHERFUCKER,-5,anger,,
MOTHERFUCKING,-5,anger,,
MOTIVATE,1,anticipation,joy,
MOTIVATED,2,anticipation,joy,
MOTIVATING,2,anticipation,joy,
MOTIVATION,1,anticipation,joy,
MOURNED,-2,sadness,,
MOURNS,-2,sadness,,
NEGATIVITY,-2,sadness,,
NEGLECTS,-2,sadness,,
NERVOUSLY,-2,sadness,disgust,
NICE,3,joy,trust,
NICEE,3,joy,trust,
NICELY,2,joy,trust,
NICER,1,joy,trust,
NICEST,2,joy,trust,
NIGGA,-1,anger,disgust,
NIGGAS,-5,anger,disgust,
NOSEY,-2,disgust,,
NOT WORKING,-3,sadness,,
NOTORIOUS,-2,anger,anticipation,
OBSOLETE,-2,sadness,surprise,
OBSTACLES,-2,sadness,surprise,
ODD,-2,anger,,
OFFENDING,-2,anger,,
OFFENDS,-2,anger,,
OMFG,0,surprise,,
OMG,0,surprise,,
OMGG,0,surprise,,
ONCE-IN-A-LIFETIME,3,trust,joy,
OPEN LETTER,-1,fear,,
OPPRESSED,-2,fear,,
OPTIONLESS,-2,fear,,
OUTMANEUVERED,-2,anger,anticipation,
OUTRAGED,-3,anger,,
OUTREACH,2,surprise,,
OVERLOOKED,-1,anger,anticipation,
