BANKSTER,-3,disgust,
BANNED,-2,fear,
BANTU,1,,
BANTUIN,0,,
BANYAK,1,,
BARBIE,1,,
BARCA,1,,
BARCELONA,1,,
BARE,0,,
BARS,1,,
BARU,1,,
BARUSAN,0,,
BAS,1,,
BASED,1,,
BASICALLY,1,,
BASTA,1,,
BASTARDS,-5,disgust,
BATAL,-1,disgust,
BATERIA,-1,,
BATMAN,1,trust,
BATTLES,-1,fear,
BATU,0,,
BATUK,-1,,
BAU,0,,
BAWA,1,,
BAWAIN,1,,
BAYAR,1,,
BBALL,1,,
BBC,0,,
BBL,2,,
BBM,0,,
BBQ,1,,
BBY,1,,
BCK,1,,
BDAY,2,,
B'DAY,3,,
B-DAY,2,,
BDG,1,,
BEAN,1,,
BEANS,2,,
BEARS,1,,
BEATEN,-2,disgust,
BEATIFIC,3,,
BEATLES,2,,
BEATS,1,,
BEAUTIES,3,joy,
BEAUTIFULLY,3,joy,
BEB,0,,
BEBAS,1,,
BEBE,0,,
BEBEB,0,,
BEBEK,1,,
BEBER,0,,
BEBERAPA,0,,
BECAME,1,,
BECANDA,0,,
BECOME,1,,
BECOMING,1,,
BEDA,1,,
BEDANKT,2,,
BEDJE,1,,
BEERS,1,,
BEETJE,1,,
BEFORE AND AFTER,-1,,
BEGADANG,1,,
BEGINI,-1,,
BEGINNEN,1,,
BEGINS,1,anticipation,
BEGINT,1,,
BEGITU,1,,
BEH,0,,
BEHIND,1,,
BEIJO,1,,
BEIJOS,2,,
BEIN,1,,
BEKASI,1,,
BEL,1,,
BELANJA,1,,
BELFAST,1,,
BELI,0,,
BELIEBER,2,,
BELIEBERS,2,,
BELIEVE,0,,
BELIIN,0,,
BELITTLED,-2,disgust,
BELLA,1,,
BELLE,1,,
BELLO,1,,
BELOM,0,,
BELONG,1,,
BELOVED,3,trust,
BELUM,0,,
BENAR,1,,
BENCI,0,,
BENDE,2,,
BENDICIONES,3,,
BENEDEN,1,,
BENEFITS,2,anticipation,
BENEFITTED,2,anticipation,
BENEFITTING,2,anticipation,
BENER,0,,
BENER2,0,,
BENERAN,0,,
BENI,1,,
BENIEUWD,3,,
BENTAR,1,,
BERAKHIR,1,,
BERANGKAT,1,,
BERANI,0,,
BERANTEM,0,,
BERAPA,1,,
BERARTI,1,,
BERASA,0,,
BERAT,0,,
BERDOA,2,,
BERDUA,1,,
BERDUKA,0,,
BEREAVE,-2,sadness,
BEREAVES,-2,sadness,
BEREAVING,-2,sadness,
BERENANG,0,,
BERES,1,,
BERHARAP,1,,
BERHASIL,2,,
BERHENTI,0,,
BERI,1,,
BERIKAN,2,,
BERITA,0,,
BERJALAN,2,,
BERJUANG,2,,
BERRY,1,,
BERSAMA,2,,
BERSYUKUR,2,,
BERTEMU,1,,
BERUBAH,0,,
BERUSAHA,2,,
BESAR,1,,
BESIDE,1,,
BESIDES,1,,
BESO,2,,
BEST,3,trust,
BEST FRIEND,1,trust,
BEST FRIENDS,1,trust,
BESTEST,2,trust,
BESTFRIEND,1,trust,
BESTFRIENDS,1,trust,
BESTIE,1,trust,
BESTIES,2,trust,
BETA,1,,
BETE,-1,,
BETER,1,,
BETRAYED,-3,disgust,
BETRAYING,-3,disgust,
BETRAYS,-3,disgust,
BETTA,1,,
BETTER,2,,
BETUL,1,,
BEY,0,,
BEYONCE,1,,
BEYOND,1,,
BEZIG,1,,
BFF,1,,
BGD,0,,
BGN,1,,
BGS,1,,
BGT,0,,
BGTU,1,,
BGUS,1,,
BHS,1,,
BIARIN,1,,
BIASA,1,,
BIASANYA,1,,
BIBLE,2,,
BIEBER,2,,
BIGGER,1,,
BIJNA,0,,
BIKIN,0,,
BIL,1,,
BILA,1,,
BILANG,0,,
BILLS,0,,
BINGUNG,-1,,
BINNEN,1,,
BINTANG,1,,
BIO,1,,
BIR,2,,
BIRDS,1,,
BIRMINGHAM,1,,
BIRTHDAYYY,4,joy,
BIRU,1,,
BISA,0,,
BISAA,0,,
BISAAA,0,,
BISCUITS,1,,
BISMA,1,,
BISMILLAH,3,,
BITCHES,-5,anger,
BITS,1,,
BITTER,-2,disgust,
BIZ,2,,
BJS,1,,
BKAN,1,,
BKIN,0,,
BKN,1,,
BLA,0,,
BLACK ARMBANDS,-2,sadness,
BLAH,-2,anger,
BLAJAR,1,,
BLAMED,-2,fear,
BLAMES,-2,fear,
BLAMING,-2,fear,
BLASTING,2,,
BLEH,0,,
BLESSES,2,trust,
BLEW,0,,
BLG,0,,
BLH,1,,
BLIJ,2,,
BLIJFT,1,,
BLIJVEN,1,,
BLITHE,2,,
BLJR,1,,
BLM,0,,
BLN,0,,
BLOCKBUSTER,3,joy,
BLOCKED,-1,anger,
BLOCKING,-1,anger,
BLOCKS,-1,anger,
BLOCO,1,,
BLOG,2,,
BLOGGING,1,,
BLOGS,1,,
BLOM,0,,
BLONDE,1,,
BLOW,1,,
BLOWS,-1,fear,
BLS,0,,
BLUM,0,,
BLURRY,-2,fear,
BLZ,1,,
BNER,0,,
BNGET,0,,
BNGT,0,,
BNGUN,0,,
BNR,0,,
BNYAK,1,,
BNYK,1,,
BOASTFUL,-2,anger,
BOB,1,,
BOBBY,1,,
BOGOR,1,,
BOHONG,0,,
BOI,1,,
BOKAP,0,,
BOLDLY,2,,
BOLEH,1,,
BONITA,2,,
BONITO,2,,
BONJOUR,4,joy,
BOOBS,0,,
BOOKED,1,,
BOONG,0,,
BOOOA,4,,
BOOOM,3,,
BOOSTED,1,,
BOOSTING,1,,
BOOSTS,1,,
BORED,-2,disgust,
BOS,1,,
BOSAN,-1,,
BOSEN,0,,
BOTHERED,-2,disgust,
BOTHERS,-2,disgust,
BOTHERSOME,-2,disgust,
BOTTLES,2,,
BOUGHT,1,,
BOUTA,2,,
BOW,2,,
BOWLING,2,,
BOXES,1,,
BOYCOTTED,-2,fear,
BOYCOTTING,-2,fear,
BOYCOTTS,-2,fear,
BOYS,1,,
BRAINWASHING,-3,anger,
BRAND,2,,
BRANDON,1,,
BRAPA,1,,
BRARTI,1,,
BRASIL,1,,
BRAZIL,1,,
BRB,2,,
BREAKS,0,,
BREAKTHROUGH,3,joy,
BREATHE,0,,
BREATHING,0,,
BREATHTAKING,5,surprise,
BRENG,1,,
BRG,1,,
BRIAN,1,,
BRIGHT,1,joy,
BRIGHTEST,2,joy,
BRINGING,2,,
BRINGS,2,,
BRITISH,1,,
BRITNEY,1,,
BRO,2,,
BROOKLYN,2,,
BROS,1,,
BROTHERS,1,,
BROUGHT,1,,
BROWNIES,1,,
BRP,1,,
BRPA,1,,
BRRR,0,,
BRU,1,,
BRUH,1,,
BRUNA,1,,
BRUNCH,2,,
BRUNO,1,,
BRUTALLY,-2,fear,
BSA,0,,
BSK,1,,
BSOK,0,,
BTW,2,,
BUAT,1,,
BUBUR,0,,
BUCKS,1,,
BUDDIES,1,,
BUEN,2,,
BUENA,2,,
BUENAS,3,,
BUENO,1,,
BUENOS,2,,
BUGS,1,,
BUH,0,,
BUITEN,1,,
BUKA,1,,
BUKANNYA,0,,
BUKAS,1,,
BUKU,1,,
BULAN,1,,
BULLIED,-2,fear,
BULLS,2,anger,
BULLSHIT,-4,anger,
BULLYING,-2,fear,
BUMMED,-2,disgust,
BUNDA,1,,
BUNG,2,,
BUNNY,1,,
BUONGIORNO,4,,
BUOYANT,2,,
BURDENED,-2,sadness,
BURDENING,-2,sadness,
BURDENS,-2,sadness,
BURGER,1,,
BURGERS,1,,
BURNED,-1,sadness,
BURUK,0,,
BUSCAR,1,,
BUTUH,0,,
BUU,0,,
BUUU,-1,,
BWA,1,,
BWT,1,,
BYEE,2,,
BYEEE,2,,
BYK,1,,
CABELO,0,,
CABEZA,-1,anger,
CADE,-2,,
CAE,1,,
CAKEP,2,,
CAKES,2,joy,
CALI,1,,
CALIFORNIA,1,,
CALLE,1,,
CALLED,1,,
CALMED,2,trust,
CALMING,2,trust,
CALMS,2,trust,
CALON,2,,
CALOR,0,,
CAMA,1,,
CAMBIAR,0,,
CAMBIO,1,,
CAME,1,,
CAMERA,0,,
CAMILA,0,,
CAMINO,1,,
CAMPING,1,,
CANADA,0,,
CANADIAN,1,,
CANCELED,-1,anger,
CANCELLED,-1,anger,
CANCELLING,-1,anger,
CANCELS,-1,anger,
CANCION,1,,
CANCIONES,1,,
CANSADA,-1,,
CANSADO,0,,
CANT STAND,-3,disgust,
CANTANDO,1,,
CANTIK,3,,
CAPEK,0,,
CAPTIVATED,3,,
CARA,0,,
CARALHO,-1,,
CARANYA,0,,
CARDIFF,1,,
CAREFREE,1,,
CARELESS,-2,anger,
CARES,2,trust,
CARI,1,,
CARING,2,trust,
CARLOS,1,,
